id,question,answer
4509,Which border does the Rhine flow from the south?,Swiss-Austrian border
4510,How many bodies of water makes up Lake Constance?,three
4511,"Besides Germany and Switzerland, where else is Lake Constance?",Austria
4512,What mountainous region is Lake Constance by?,Alps
4513,Where is the border of Swiss and Austria?,47°39′N 9°19′E﻿ / ﻿47.650°N 9.317°E﻿ / 47.650; 9.317.
4514,Lake Constance separates the German state Bavaria from what other one?,Baden-Württemberg
4515,Why does the Rhine water fall into depths at the Rheinbrech?,greater density of cold water
4516,Where does the cold and warm water meet the warm water?,Rheinbrech
4517,What is the Island off of the German shore of the Rhine that this warm and cold water meet?,Lindau
4518,What Lake in a German island Mainau receives a fraction of the Rhine's flow?,Lake Überlingen
4519,How much of the lake connecting with the Rhine can you see from the German islands?,entire length
4520,Where does the cold water mix with Lake Constance?,Rheinbrech
4521,What island does the cold water flow of the Rhine and Lake Constance flow to?,Lindau
4522,A small fraction of the cold water flow from Lake Constance goes to what other lake?,Lake Überlingen
4523,What does the word Rheinrinne translate to?,Rhine Gutter
4524,What does the flow of the Rhine being visible depend on?,water level
4525,"After the Rhine emerges from Lake Constance, what direction does it flow?",westward
4526,What is the major tributary of the Rhine?,river Aare
4527,How much water does the Aare give to the Rhine?,"1,000 m3/s (35,000 cu ft/s)"
4528,Where is the highest point of the Rhine basin?,Finsteraarhorn
4529,Where is the so-called Rhine Knee?,Basel
4530,When the Rhine emerges from Lake Constance which way does it flow?,westward
4531,What is the major tributary for the Rhine? ,Aare
4532,The Rhine gets how much water from the Aare?,"1,000 m3/s (35,000 cu ft/s),"
4533,What is the highest point of the Rhine basin called?,Finsteraarhorn
4534,There's a rough border between Switzerland and what other country formed by the Rhine?,German
4535,What is the first major city in the stream of the Rhine?,Basel
4536,What is the bend of Rhine in Basel called? ,Rhine knee
4537,What is the boundary between the High and Upper Rhine? ,Central Bridge
4538,How long is the Upper Rhine Plain?,300 km long
4539,How wide is the Upper Rhine Plain? ,40 km wide
4540,What is the first major city in the course of the Rhine?,Basel
4541,What is the first major bend in the Rhine called?,Rhine knee
4542,The bend on the Rhine goes from the West to what direction?,North
4543,What ends at this bend in the Rhine?,High Rhine
4544,What is the legal boundary behind the High and Upper Rind?,Central Bridge
4545,Which century was there a program to straighten the Rhine? ,19th Century
4546,What happened to the rate of flow in the Rhine during the Rhine straightening program?,increased
4547,What happened to the ground water in the Rhine during the Rhine straightening program?,fell significantly
4548,Which canal was dug in France to carry Rhine's water?,Grand Canal d'Alsace
4549,What is the Bassin de compensation de Plobsheim in Alsace? ,large compensation pools
4550,What region of the Rhine was changed by the Rhine Straightening program?,Upper Rhine
4551,When did the Rhine Straightening program begin?,19th Century
4552,What happened with the rate of flow in the Rhine with the straightening program?,increased
4553,What happened with the ground water level with the Rhine straightening program?,fell significantly
4554,What carries a significant amount of the Rhine flow through France?,Grand Canal d'Alsace
4555,What is the longest river in Germany?,Rhine
4556,Where does the Rhine encounter it's tributary the Neckar? ,Germany
4557,What is the average discharge of the Moselle to the Rhine?,"300 m3/s (11,000 cu ft/s)"
4558,What is a main tributary to the Rhine that goes through Northeastern France and part of Belgium?,Moselle
4559,What is the average width of the Rhine?,"400 m (1,300 ft)."
4560,The Rhine is the longest river in what country?,Germany
4561,Which country does the Rhine encounter it's main tributaries?,Germany
4562,Which of the tributaries in Germany contributes most? ,Moselle
4563,What country does the Moselle take the Rhine to?,France
4564,How much does the Rhine discharge at the Dutch border?,"2,290 m3/s (81,000 cu ft/s)"
4565,What flows between the Bingen and Bonn?,Middle Rhine
4566,What gorge is between the Bingen and Bonn?,Rhine Gorge
4567,How was the Rhine Gorge formed?,erosion
4568,What is the area called near the Rhine Gorge with castles from the middle ages?,the Romantic Rhine
4569,What flows between Bingen and Bonn?,Middle Rhine
4570,Where does the Middle Rhine flow between Bingen and Bonn?,Rhine Gorge
4571,What is the Rhine Gorge known for?,castles
4572,What is the section of the Rhine Gorge recognized by UNESCO called?,Romantic Rhine
4573,What contributed to water pollution in the Rhine? ,plants and factories
4574,Where are a bulk of factories concentrated along the Rhine?,Switzerland
4575,What is Europe's largest inland port?,Duisburg
4576,What rive joins the Rhine in Duisburg? ,Ruhr
4577,What does the Ruhr provide to it's community?,drinking water
4578,What did industry do to the Rhine until the 1980s?,pollution
4579,Which section of the Rhine is most factories found?,Lower Rhine
4580,What country has the most factories that pollute the Rhine?,Switzerland
4581,What city has the largest inland port in Europe?,Duisburg
4582,Which river joins the Rhine in Duisburg?,Ruhr
4583,"Besides viniculture, what's a dominant economic sector of the Middle Rhine?",tourism
4584,There's a UNESCO World Heritage site in the Rhine Gorge between the Koblenz and what?,Rüdesheim am Rhein
4585,What is the famous rock near Sanke Goarshausen?,Lorelei
4586,What is considered the epitome of the Rhine romanticism? ,Middle Rhine Valley
4587,"Besides viniculture, what is the other dominate economic sector in the middle rhine?",tourism
4588,What is the Rhine Gorge listed as?,UNESCO World Heritage Site.
4589,The Rhine Gorge is between Koblenz and what other city?,Rüdesheim am Rhein
4590,What is the famous rock called that the Rhine flows around?,Lorelei
4591,Where is the famous rock the Rhine flows around?,Sankt Goarshausen
4592,What city has the biggest port in Germany?,Duisburg
4593,What is the Canal in Wesel? ,Wesel-Datteln Canal
4594,What does the Wessel-Datteln canal run parallel to?,Lippe
4595,What is the largest suspension bridge in Germany?,Emmerich Rhine Bridge
4596,How wide is the Rhine in Germany between Emmrich and Cleves?,400 m
4597,What part of the Rhine flows through North Rhine-Westphalia?,Lower Rhine
4598,What is the region called that is the largest conurbation of the Rhine?,Rhine-Ruhr
4599,What is the largest port in Europe called?,Duisport
4600,What is the name of the longest bridge in Germany?,Emmerich Rhine Bridge
4601,How wide is the Rhine in Germany?,400 m wide
4602,What is the Dutch name for the Rhine?,Rijn
4603,What does the water flow of the Rhine merge with after flowing through Merwede?,Meuse
4604,How much of the water flow does the Waal get from the Rhine?,Two thirds
4605,Which direction does two thirds of the Rhine flow outside of Germany?,west
4606,Where does two thirds of the Rhine flow outside of Germany?,Waal
4607,What does the Rhine merge with outside of Germany?,Meuse
4608,What's the name of where the Rhine branches off near Dordrecht?,The Oude Maas
4609,"If two thirds of the Rhine flows through the Maas, where doe the other one third flow through?",Pannerdens Kanaal
4610,The Rhine redistributes into the Ijssel and what other body?,Nederrijn
4611,What does the Nederrikn's name change into?,Lek
4612,Where does the Lek join? ,Noord River
4613,"If two thirds of the Rhine flows through Waal, where does the other third flow through?",Pannerdens Kanaal
4614,"Other than the Ijssel, where does the water from the Pannerdens Kanaal redsitrubute?",Nederrijn
4615,How much of the Rhine flow does Ijssel carry?,one ninth
4616,What does the Nederrijn change it's name to?,Lek
4617,Where does the Nederrijn change it's name?,Wijk bij Duurstede
4618,What is the name for the smaller streams along the region northern Germany?,Rijn
4619,The smaller streams are used for what?,draining the surrounding land
4620,What is the name of the old north branch of the Rhine?,Kromme Rijn
4621,What is the translation of the old north branch of rhe Rhine?,Bent Rhine
4622,What part of the Rhine flows west at Katwijk?,Old Rhine
4623,What is the name of the Delta in the Netherlands? ,Rhine-Meuse
4624,Where does the Delta in the Netherlands begin?,"Millingen aan de Rijn,"
4625,What is the nickname for the Delta in the Netherlands?,Rhine Delta
4626,"At Millingen aan de Rijn where the Rhine splits, what does it change it's name to?",Nederrijn at Angeren
4627,How many main flows are branched off from the Nederrijn?,three
4628,What is the largest main branch of the Rhine?,Waal
4629,What is the English translation of Het Scheur?,the Rip
4630,What is the translation of Oude Maas?,Old Meuse
4631,What flood impacted the Meuse?,St. Elizabeth's
4632,What year did the flood that impacted the Meuse take place?,1421
4633,Where did the Meuse flow before the flood? ,Merwede-Oude Maas
4634,What did the Merwede-Oude Maas form with Waal and Lek?,archipelago-like estuary
4635,When did the Meuse and Waal merge?,1421 to 1904
4636,What is the term for closing off rivers that are no longer connected?,dammed
4637,What do closed rivers serve as after they close?,drainage channels
4638,What changed the Rhine's Delta?,construction of Delta Works
4639,When was the construction that changed the Rhine's Delta?,20th Century
4640,What type of Delta is the Rhine-Meuse?,tidal delta
4641,"Besides rivers, what shapes the sedimentation of the rivers?",tidal currents
4642,What does a high tide risk near lands? ,tear huge areas of land into the sea.
4643,Between Brakel and what other city can the most landward tidal influence be detected?,Zaltbommel
4644,The present Mediterranean Sea descends from what sea?,Tethys sea
4645,What period opened the Tethys Ocean?,Mesozoic Era
4646,What period did plates reverse directions to compress the Tethys floor?,Jurassic Period
4647,Microplates squeezing and rotating created the features of what?,Mediterranean geography
4648,What pushed up the Pyrenees?,Iberia
4649,What rift system developed in the Alpine orogeny?,N–S
4650,What elements from the rift system in the Alpine orogeny in Southwest Germany?,Upper Rhine Graben
4651,What time did a river system develop in the Upper Rhine Graben?,Miocene
4652,The Rhine and what other river drained the northern flanks of the alps?,Danube
4653,How did the Rhine extend watershed southward? ,stream capture
4654,What period did the Rhine capture streams?,Pliocene period
4655,Where are the streams the Rhine captured?,Vosges Mountains
4656,What period was 2.5 million years ago?,Ice Ages
4657,How many major ice ages have occurred? ,six
4658,How far did the sea level drop in the ice ages?,120 m
4659,"In early Pleistocene, what direction did the Rhine flow?",northwest
4660,"During glacial times, where was the mouth of the Rhine located?",Brest
4661,When did the last glacial start?,"74,000 (BP"
4662,When did the last glacial end?,"11,600 BP"
4663,Which direction did the Rhine flow during the last cold phase?,west
4664,How much lower was the North Sea in the last cold phase than it is today?,120 m
4665,"Besides the North Sea and the Irish Channel, what else was lowered in the last cold phase?",English Channel
4666,What was the source of the Rhine in the last Ice Age?,glacier
4667,What stretched across middle Europe in the last ice age?,tundra
4668,When was the Last Glacial Maximum?,"22,000–14,000 yr BP"
4669,"What covered Scandinavia, the Baltics, Scotland, and the Alps in the last Ice Age?",ice-sheets
4670,What is the term for wind-blown dust in a tundra?,loess
4671,When did Europe slowly begin to warm up from the last Ice Age?,"22,000 years ago"
4672,What did frozen subsoil and expanded alpine glaciers begin to do?,thaw
4673,Where did the discharge from glaciers go in Europe in the last Ice Age?,Rhine
4674,When did rapid warming begin and help vegetation?,"13,000 BP"
4675,When was Europe fully forested and recovered from the last Ice Age?,9000 BP
4676,When did tides and currents similar to our current system begin?,7500 yr ago
4677,Why did natural sedimentation by the Rhine compensate the transgression bby the sea?,Rates of sea-level rise
4678,How long has the Rhine coastline been in the same location?,last 7000 years
4679,Why is the current sea level rising?,tectonic subsidence
4680,How quickly is the sea level rising?,1–3 cm (0.39–1.18 in) per century
4681,When was the Holocene?,"11,700 years ago"
4682,Where did the Rhine occupy during the Holocene?,Late-Glacial valley
4683,What country did the Rhine continue to rise during the holocene?,Netherlands
4684,When did the formation of the Holocene Rhine-Meuse delta begin?,"8,000 years ago"
4685,When have humans started impacting the delta?,3000 yr BP
4686,What increased in the Rhine because of the land clearance in the upland areas?,sediment load
4687,What has increased sediment and delta growth also produced in the Rhine?,increased flooding and sedimentation
4688,How many avulsions have occurred in the past 6000 yeas?,80
4689,When did embankment of the major Rhine distributaries take palce?,11–13th century
4690,Where do the branches Waal and Nederrijn-Lek discharge to?,North Sea
4691,What do the Waal and the Nederrijn-Lek discharge throguh?,Meuse estuary
4692,Where does the Ijssel branch flow?,IJsselmeer
4693,What did the Zuider Zee brackish lagoon change into?,freshwater lake
4694,How many branches does the Rhine branch into?,three
4695,When was the Rhine first discovered?,1st century BC
4696,The Rhine first formed a boundary between Gaul and what else?,Germania
4697,Since when was the Rhine part of the areal of Hallstatt culture?,6th century BC
4698,Who first wrote about the Rhine's discovery and border?,Maurus Servius Honoratus
4699,When did Augustus die?,AD 14
4700,The Rhine and what other river were accepted as the Germanic frontier?,Danube
4701,When did the Rhine stop being the Roman boundary?,the empire fell
4702,Where are the upper Rhine and upper Danube crossed?,southern
4703,Which direction did Romans use to drift through the Rhine?,eastwards
4704,How many legions in five bases were along the Rhine by the Romans?,eight
4705,What did the number of legions in Roman times depend on?,threat of war
4706,Vetra and I Germanica and XX Valeria were the two legions for what?,army of Germania Inferior
4707,What was the Colonia Agrippina's original name?,Ubiorum
4708,What does Colonia Agrippina's original name translate into?,town of the Ubii
4709,When did Germanic tribes cross the Rhine to migrate?,5th century
4710,What did Germanic tribes establish with help from the Rhine?,kingdoms
4711,What is the translation of Siebengebirge?,dragons rock
4712,Who is the hero who killed a dragon on the Drachenfels?,Siegfried
4713,"Who threw gold into the Rhine, according to legend?",Hagen
4714,When did the Rhine become borders with Francia?,6th century
4715,When was the Rhine fully within the Holy Roman Empire?,10th century
4716,"The Rhine flowed through Swabia, Franconia and what other location in the 10th Century?",Lower Lorraine
4717,Who sold the Upper Rhine to Burgundy?,Archduke Sigismund
4718,When was the Upper Rhine sold to Burgundy?,1469
4719,What was the name of the time the Upper Rhine form a border between France and Germany?,Peace of Westphalia
4720,What was a long term goal of French foreign policy along the Rhine?,"Establishing ""natural borders"""
4721,Who established the Confederation of the Rhine?,Napoleon
4722,When was the confederation of the Rhine?,1806
4723,When was the Rhine crisis?,1840
4724,When was Rhineland subject to the Treaty of Versailles?,end of World War I
4725,When would the occupation of allies leave Rhineland?,1935
4726,"After 1935, who would be forbidden to enter Rhineland?",German army
4727,What do some believe the Treaty of Versailles assisted in?,Adolf Hitler's rise to power
4728,When did the German army reoccupy Rhineland?,1936
4729,Where is the Rhine Bridge?,Arnhem
4730,What was the Rhine considered to invaders in WWII?,formidable natural obstacle
4731,When was Operation Market Garden?,September 1944
4732,What bridge did the Germans fail to demolish?,Ludendorff Bridge
4733,What was the Warsaw Pact war plan?,Seven Days to the River Rhine
4734,What was the accepted length of the Rhine prior to 1932?,"1,230 kilometres (764 miles)"
4735,Who stated a change of the length of the Rhine?,Knaurs Lexikon
4736,in 1932 what was the Rhine measurement changed to?,"1,320 kilometres (820 miles)"
4737,Why was the Rhine measurement changed? ,typographical error
4738,When was the Rhine measurement corrected back to the original?,2010
4739,When was the current parliament of Scotland convened?,Following a referendum in 1997
4740,What act set out the Parliament's powers as a devolved legislature?,Scotland Act 1998
4741,The legislative competence of the Parliament species what areas?,in which it can make laws
4742,To what body are certain powers explicitly specified as being reserved for?,Parliament of the United Kingdom
4743,The Scottish Parliament may legislate as it pleases as long as the powers aren't already reserved by where?,Westminster
4744,What remained an important issue in Scottish national identity for many years?,lack of a Parliament of Scotland
4745,How many hundred of years was Scotland directly governed by the parliament of Great Britain?,three hundred
4746,Why were the initial suggestions for a devolved parliament before 1914 shelved?,First World War.
4747,When was there a sharp rise in nationalism in Scotland?,the late 1960s
4748,What did Kllbrandon's report in 1973 recommend establishing?,directly elected Scottish Assembly
4749,Which sea was oil discovered in?,North
4750,What campaigh did the Scottish National Party (SNP) run?,"""It's Scotland's oil"""
4751,What did the SNP publicly opine about the oil revenues?,not benefitting Scotland as much as they should
4752,When did Prime Minister Wilson commit to some form of devolved legislature?,1974
4753,When was the final legislative proposals for a Scottish Assembly passed?,1978
4754,"Where was an elected assembly to be set up, under the terms of the Scotland Act of 1978?",Edinburgh
4755,How many of the Scottish electorate would need to for it on the referendum?,majority
4756,How did trying to establish a devolved Scottish Assembly go in 1979?,failed
4757,What percentage of the vote for a Scottish Assembly in favor of it?,51.6%
4758,What percentage of Scotland's voting population failed to actually vote?,32.9%
4759,"In the range between 1980 and 1990, what did demand for grow?",a Scottish Parliament
4760,Whose control of the UK's government helped fuel a desire for a Scottish Parliament?,the Conservative Party
4761,When was the Scottish Constitutional Convention held?,1989
4762,What provided much of the basis for the structure of the Parliament in 1995?,blueprint
4763,Where has the official home of the Scottish Parliament been since 2004?,Scottish Parliament Building
4764,Who designed the Scottish Parliament building?,Enric Miralles
4765,What nationality is the architect Enric Miralles?,Spanish
4766,What shape are some of the buildings in the Parliament complex?,leaf-shaped
4767,"Who opened the new Parliament building on October 9, 2004?",Queen Elizabeth II
4768,Where was Parliament's temporary home whilst the permanent building was being built?,General Assembly Hall of the Church of Scotland
4769,Where were interviews held while the parliament was in its temporary building?,courtyard
4770,What was the building vacated twice to allow for?,meeting of the Church's General Assembly
4771,Where was Parliament temporarily relocated to in May of 2000?,former Strathclyde Regional Council debating chamber in Glasgow
4772,"In May 2002, where would you go to address the Parliament?",University of Aberdeen
4773,Who did the Parliament rent additional buildings from?,City of Edinburgh Council
4774,What  former administrative building was used for the MSP's offices?,Lothian Regional Council
4775,What happened to the building on George IV Bridge when the Parliament was done with it?,demolished
4776,What do the former Midlothian County Buildings face?,"Parliament Square, High Street and George IV Bridge in Edinburgh"
4777,Which hall was used as Parliament's principle committee room?,main
4778,Who is elected to serve as the Presiding Officer at the beginning of each parliamentary session?,one MSP
4779,Who is currently speaker of the Scottish Parliament?,Tricia Marwick
4780,What type of ballot is used to elect the Presiding Officer and deputies of the Parliament?,secret
4781,How many MSPs are there?,129
4782,Who is responsible for operating the electronic voting equipment and chamber clocks?,A vote clerk
4783,Who is responsible for ensuring the Parliament works smoothly?,Presiding Officer
4784,Who sets the work agenda and allocates time in the chamber?,the Parliamentary Bureau
4785,How many seats must a political party have to be represented on the Parliamentary Bureau?,five
4786,Who represents the Scottish Parliament at home and abroad in an official capacity?,The Presiding Officer
4787,What is the seating arrangement of the debating chamber?,hemicycle
4788,Why is the seating of the debating chamber arranged as it is?,encourage consensus amongst elected members
4789,How many seats are in the debating chamber?,131
4790,How many members in the seats of the Scottish Parliament are members of the Scottish Government?,2
4791,What can the non-elected members from the Scottish Government not do?,vote
4792,What is the parliamentary mace made of?,silver
4793,Where does the gold in the parliamentary mace come from?,Scottish rivers
4794,What words are inscribed on the mace of parliament?,"Wisdom, Compassion, Justice and Integrity"
4795,Who presented the mac to the Scottish Parliament when it was initially opened?,the Queen
4796,What is the mace displayed in?,a glass case suspended from the lid
4797,Which month is the first in the year Parliament takes a two week vacation?,April
4798,Where do plenary meetings take place?,debating chamber
4799,Who are debates and meetings open to?,the public
4800,How much does it cost to gain entry to a parliament meeting?,free
4801,What contains a nearly verbatim of parliamentary debates?,the Official Report
4802,What day of the week does the Time for Reflection take place?,Wednesdays
4803,How long might a speaker address the members during the Time of Reflection?,up to four minutes
4804,"Because speakers are drawn from across Scotland, what do the represent the balance of?",religious beliefs
4805,Who decides who gets to address the members of Parliament to share their thoughts on issues of faith?,Presiding Officer
4806,What can faith groups ask the Presiding Officer to do for them?,nominate speakers
4807,Who decides who gets to speak in the chamber debates?,The Presiding Officer
4808,What is also decided by the Presiding Officer?,amount of time for which they are allowed to speak
4809,What does the Presiding Officer try to achieve a balance of between speakers?,different viewpoints
4810,What members typically open debates?,ministers or party leaders
4811,What language other than English has the Scottish Parliament had meetings in?,Gaelic
4812,What time do the MSPs normally decide on the motions and amendments from that day?,5 pm
4813,What is heralded by the sounding of the division bell?,"""Decision Time"""
4814,What do MSPs who are not in the chamber when the division bell rings return to do?,vote
4815,How do members vote when there is a division?,electronic consoles on their desks
4816,How long does it take to know the outcome of a division?,seconds
4817,What can often be predicted beforehand?,votes
4818,Who normally instructs members how to vote?,political parties
4819,Who has the task of ensuring party members vote according to the party line?,whips
4820,What happens if a member doesn't vote the party line?,deselected as official party candidates during future elections
4821,What type of issues are members typically allowed to vote as they please?,moral
4822,When is the Members Debate held?,Immediately after Decision Time
4823,How long does the Members Debate last?,45 minutes
4824,Why are debates on proposed motions by an MSP conducted?,not a Scottish minister
4825,Who contributes to Members Business in addition to the proposer?,other members
4826,What does the minister who was the catalyst of the Members Business do by speaking after everyone else?,winds up
4827,Where is much of the work of the Scottish Parliament done?,committee
4828,What are committees in the Scottish Parliament compared to other systems?,stronger
4829,What is one avenue being compensated for by having committees serve such a large role?,no revising chamber
4830,Taking evidence from witnesses is one of committees' what?,principal role
4831,Where might committees meet outside of Parliament?,other locations throughout Scotland
4832,Who are committees comprised of?,a small number of MSPs
4833,What do the membership of the committees reflect?,balance of parties
4834,Different committees have what set out in different ways?,functions
4835,What type of committee is set down under the SP's standing orders?,Mandatory
4836,What session is the Scottish Parliament in?,fourth
4837,When are subject committees established?,beginning of each parliamentary session
4838,How many ministries of the Scottish government does a committee typically correspond to?,one
4839,"Economy, Energy and Tourism is one of the what?",current Subject Committees
4840,What is the Scottish Parliament currently in the fourth of?,Session
4841,What is set up to scrutinize private bills submitted by party outsiders?,type of committee
4842,What topic do private bills typically have?,large-scale development projects
4843,Who decides how land or property is allowed to be used?,Scottish Government.
4844,What kind of committee considered legislation on the development of the Edinburgh Tram Network?,Private Bill
4845,What act sets forth the functions of the Scottish Parliament?,Scotland Act 1998
4846,Who gave her royal assent to the Scotland Act of 1998?,Queen Elizabeth II
4847,What does the Scotland Act of 2012 extend?,devolved competencies
4848,What body constitutes the supreme legislature of Scotland?,Parliament of the United Kingdom at Westminster
4849,Who has the role of holding the Scottish Government to account?,Scottish Parliament
4850,Where are reserved matters stated in the Scotland Act?,Schedule 5
4851,"If a matter is not specifically reserved, who is it devolved to?",Scottish Parliament
4852,Why do police and fire services fall under the purview of the Scottish Parliament?,automatically devolved
4853,How much can the SP alter income tax in Scotland?,up to 3 pence in the pound
4854,Setting speed limits was one of the further devolutions which was conferred by what act?,2012 Act
4855,What is the name of matters outside the legislative ability of the Scottish Parliament?,Reserved
4856,Issues dealt with at Westminster are not ones who is able to deal with?,Scottish Parliament
4857,Where are issues like abortion and drug policy legislated on?,Westminster
4858,Most aspects of transport safety is a subject dealt with by whom?,UK Government ministers
4859,What may be presented to Parliament in various ways?,Bills
4860,Who may introduce new laws or amendments to laws already on the books as a bill?,the Scottish Government
4861,An MSP may introduce a bill as what?,a private member
4862,Who may also submit private bills to Parliament?,an outside proposer
4863,How do bills pass through Parliament?,in a number of stages
4864,What is stage 1 in the life of a bill?,introductory
4865,What are presented to parliament in addition to the bill itself?,accompanying documents
4866,What do statements from the PO and member in charge of the bill also indicate?,whether the bill is within the legislative competence of the Parliament
4867,Where are bills typically gestated in Stage 1?,in the relevant committee or committees
4868,"If Parliament agrees in a vote to the general principle of a bill, what does it then proceed to?",Stage 2
4869,What is the final stage of a bill in the Scottish Parliament?,Stage 3
4870,How many parts does the consideration of a bill in Stage 3 have?,two
4871,What vote on a bill takes place in Stage 3?,final
4872,What type of amendments might members opposed to a bill put on the table?,wrecking
4873,When do members proceed to vote on whether they agree to the principles of the final bill?,Decision Time
4874,Who does the Presiding Officer submit the final bill to?,the Monarch
4875,Why is the final bill passed to the Monarch?,royal assent
4876,What is the minimum amount of time before a bill can go into law?,a 4-week period
4877,Who is a bill referred to for a ruling on whether it's within the powers of the Parliament?,Supreme Court of the United Kingdom
4878,What does the template for bills passed by the Scottish Parliament include?,[Date]
4879,What party forms the Scottish Parliament?,hold the majority of seats
4880,Who is elected at the beginning of each term?,First Minister
4881,Who is eligible to toss their name in the hat to be First Minister?,Any member
4882,"Other than Scotland's Chief Law Officer, from whence are most ministers drawn from amongst?",elected MSPs
4883,Who makes formal appointment or dismissal decisions?,the Sovereign
4884,What day of the week are general elections held?,Thursday
4885,"What month, every four years, are the ordinary general elections held on?",May
4886,"Who may change the date by up to a month, on the proposal of the PO?",the Monarch
4887,How many days does the Parliament have to nominate a First Minister after a General Election?,28
4888,"If an extraordinary election is held within less than six months before the date of an ordinary election, what does it do to the ordinary election?",supplant it.
4889,What enables the Scottish Parliament to scrutinize the government?,Several procedures
4890,Who can question statements the First Minister or members of the cabinet make?,MSPs
4891,What does the First Minister deliver at the beginning of each parliamentary year?,legislative programme for the forthcoming year
4892,What do the leaders of the opposition parties and other MSPs question the First Minister about?,issues related to the substance of the statement
4893,What is set aside for question periods in the debating chamber?,Parliamentary time
4894,On what day does a General Question Time take place?,Thursday
4895,Who may members direct questions towards during General Question Time?,any member of the Scottish Government
4896,What may members question the First Minister about directly during First Minister's Question Time?,issues under their jurisdiction
4897,How many general questions are available to opposition leaders?,four
4898,What is the number of Constituency MSPs?,73
4899,How many members can voters choose to represent the constituency? ,one
4900,When was there a reduction in the number of Scottish MPs?,2005
4901,What is the current number of electors currently in a Scottish Parliament constituency? ,"55,000"
4902,Why do the island archipelagos comprise a smaller number of electors?,dispersed population and distance
4903,How are the total numbers of seats allocated to parties?,proportionally to the number of votes received
4904,What method is used for tallying votes in the second vote of the ballot?,the d'Hondt method
4905,The party awarded a seat is the one with the highest what?,quotient
4906,What set is a seat added to after being allocated?,constituency seats
4907,How is the process of allocating seats repeated until all available seats have been determined?,iteratively
4908,What does being an MSP share with the House of Commons?,a number of qualifications
4909,When was the British Nationality Act passed?,1981
4910,How old most a person be to apply to be an MSP?,over the age of 18
4911,Members of which organizations are disqualified from sitting in the SP as elected MSPs?,police and the armed forces
4912,What act sets the term for judging the boundaries of sanity to which individuals wishing to sit on the SP must adhere?,Mental Health (Care and Treatment) (Scotland) Act 2003
4913,"When the election produced an SNP majority government, what was it the first occurrence of?",a party has commanded a parliamentary majority
4914,Who did the SNP obtain 16 seats from?,Labour
4915,By how much did Labour lead Lain Gray retain East Lothian?,151 votes
4916,How many seats did the SNP take from the Liberal Democrats?,eight
4917,What did the result of the SNP majority allow a referendum be held on?,Scottish independence
4918,The loss of Edinburgh Pentlands really disappointed whom the most?,the Conservatives
4919,What was the seat of former party leader David McLetchie?,Edinburgh Pentlands
4920,What net loss did the Conservatives suffer?,five seats
4921,Who announced she would step down as leader of the Conservatives? ,Annabel Goldie
4922,Who congratulated the SNP while vowing to campaign against their referendum?,Cameron
4923,What consequence of establishing the Scottish Parliament applies to Scottish MPs sitting in the UK House of Commons?,"able to vote on domestic legislation that applies only to England, Wales and Northern Ireland"
4924,What are MPs unable to vote upon?,domestic legislation of the Scottish Parliament
4925,What phenomenon has led to criticism?,West Lothian question
4926,What party had a victory in the 2015 UK election?,the Conservative
4927,MPs representing English constituencies can only veto laws affecting which country? ,England
4928,What is an Islamic revival movement?,Islamism
4929,What aspects of life does Islamism seek to integrate itself into?,all spheres of life.
4930,What goal does Islamism have when it comes to society and government?,reordering
4931,What have the two different Islamist movements been described as oscillating between?,poles
4932,One strategy of Islamization is to seize power by what methods?,revolution or invasion
4933,What process do moderate and reformist Islamists work within the boundaries of?,democratic
4934,Where does Hamas originate?,Palestine
4935,What is the goal of Islamist groups like Hezbollah and Hamas?,abolish the state of Israel
4936,What do radical Islamist organizations reject entirely?,democracy
4937,On what basis do the radical Islamist organizations conduct their attacks?,religious
4938,What exists between fundamentalist Islamism and reformist Islamism?,major division
4939,What did Olivier Roy state underwent a remarkable shift in the second half of the 20th century?,Sunni pan-Islamism
4940,What did the Salafi movement put emphasis on?,"sharia rather than the building of Islamic institutions,"
4941,What has Islamism been increasingly interdependent with following the Arab Spring?,democracy
4942,Why do Islamists need democratic elections?,to maintain their legitimacy
4943,What type of role that Islamism seeks makes it a somewhat controversial concept?,political
4944,What do supporters of Islamism believe their views reflect?,Islam
4945,The idea that Islam can be apolitical isn't able to be embraced by whom?,its supporters
4946,What does the inability to separate Islam from Islamism lead many in the West to support?,illiberal Islamic regimes
4947,What do progressive moderates of Islam seek to separate?,religion from politics
4948,What term do Islamists think should be applied to them?,Muslims
4949,What does a writer for the International Crisis Group think the concept of political Islam is a creation of?,Americans
4950,What was apolitical Islam?,a historical fluke
4951,When was the heyday of secular Arab nationalism?,between 1945 and 1970
4952,"What, rather than Islamism, requires explanation?",non-political Islam
4953,When did Western governments support fledgling Islamists?,During the 1970s
4954,What did some of the Islamist groups supported by the West later become to be seen as?,dangerous enemies
4955,Western governments considered Islamists to be the lesser of two evils when compared to whom?,leftist/communist/nationalist insurgents/opposition
4956,"Who did the US provide aid to, to fight against the Soviet Union?",the mujahideen Muslim Afghanistan
4957,What did the non-Afghan veterans returning home have in addition to their prestige?,considerable impact
4958,Who is the President of Egypt?,Anwar Sadat
4959,What relationship with Israel is Sadat for?,peace
4960,What was Sadat seeking by releasing Islamists from prison?,political support
4961,When did the so called gentlemen's agreement between Sadat and the Islamists break down?,1975
4962,How was Sadat rewarded by the Islamists for his attempts to bring Egypt into modern times and civilization?,assassinated
